"estimated_load","latitude","longitude","route_number","speed","vehicle_number","event_timestamp"
,"45.42278","-122.633573",,"4","3110","1492200087"
,"45.591353","-122.75604",,"21","3547","1492200087"
,"45.407863","-122.616925",,"34","3538","1492200088"
,"45.51206","-122.616358",,"19","2505","1492200089"
,"45.512432","-122.78082",,"28","3540","1492200089"
,"45.550458","-122.583418",,"8","3239","1492200089"
,"45.591018","-122.755722",,"20","3547","1492200092"
,"45.408242","-122.617438",,"25","3538","1492200093"
,"45.512062","-122.61689",,"18","2505","1492200094"
,"45.512313","-122.780045",,"27","3540","1492200094"
,"45.550742","-122.582722",,"28","3239","1492200094"
,"45.590685","-122.755402",,"20","3547","1492200097"
,"45.408415","-122.617683",,"10","3538","1492200098"
,,,,,"3038","1492200098"
,"45.512073","-122.617252",,"11","2505","1492200099"
,"45.512138","-122.77947",,"21","3540","1492200099"
,,,,,"3038","1492200099"
,"45.55104","-122.581983",,"30","3239","1492200099"
"46","45.518598","-122.679741","100",,"323","1492200100"
,"45.5196","-122.67466",,"3","3038","1492200100"
"3","45.40842","-122.617692","32",,"3538","1492200101"
,,,,,"323","1492200102"
,"45.59036","-122.755087",,"19","3547","1492200102"
,,,,,"323","1492200103"
,"45.512083","-122.617365",,"3","2505","1492200104"
,"45.51205","-122.779247",,"8","3540","1492200104"
,"45.551337","-122.58124",,"30","3239","1492200104"
"13","45.512082","-122.617474","14",,"2505","1492200105"
,"45.51969","-122.675018",,"13","3038","1492200105"
"7","45.551337","-122.581239","12",,"3239","1492200105"
,,,,,"3239","1492200106"
,"45.422718","-122.63356",,"4","3110","1492200107"
,"45.590168","-122.754825",,"13","3547","1492200107"
,"45.51204","-122.779223",,"1","3540","1492200108"
,"45.551645","-122.58049",,"30","3239","1492200109"
,"45.519758","-122.67528",,"9","3038","1492200110"
,,,,,"3538","1492200111"
"4","45.59014","-122.754749","75","3","3547","1492200111"
,"45.422423","-122.633508",,"15","3110","1492200112"
,,,,,"3538","1492200112"
,"45.408557","-122.617923",,"5","3538","1492200113"
,"45.551957","-122.579725",,"31","3239","1492200114"
,"45.519823","-122.675525",,"9","3038","1492200115"
,"45.421963","-122.633435",,"23","3110","1492200117"
,"45.40887","-122.618428",,"24","3538","1492200118"
,"45.511922","-122.778962",,"12","3540","1492200119"
,"45.5522","-122.579107",,"22","3239","1492200119"
,"45.519908","-122.675848",,"12","3038","1492200120"
,,,,,"2505","1492200121"
,,,,,"2505","1492200122"
,"45.421408","-122.633347",,"28","3110","1492200122"
,"45.409292","-122.619097",,"32","3538","1492200123"
,"45.512077","-122.617833",,"4","2505","1492200124"
,"45.5117","-122.778553",,"18","3540","1492200124"
,"45.552283","-122.57889",,"7","3239","1492200124"
,"45.51999","-122.676158",,"11","3038","1492200125"
"3","45.409292","-122.619096","32",,"3538","1492200126"
"7","45.552285","-122.578884","12",,"3239","1492200126"
,"45.420788","-122.63325",,"31","3110","1492200127"
,,,,,"3538","1492200127"
"0","45.519692","-122.680508","100",,"323","1492200128"
,"45.4098","-122.619718",,"33","3538","1492200128"
,"45.512077","-122.617905",,"1","2505","1492200129"
,"45.511478","-122.77824",,"15","3540","1492200129"
,"45.520062","-122.676407",,"9","3038","1492200130"
,"45.420143","-122.633157",,"32","3110","1492200132"
,"45.41031","-122.620262",,"31","3538","1492200133"
,"45.511333","-122.778085",,"8","3540","1492200134"
,"45.520108","-122.67656",,"4","3038","1492200135"
"18","45.420143","-122.633156","33",,"3110","1492200136"
